År,Region,Effektklass,Solcellsanläggningar, Antal Installerad effekt (MW)
2016,00 Riket,< 20 kw,8543,64.99
2016,00 Riket,20 kW - 1 000 kW,1460,70.72
2016,00 Riket,> 1 000 kW,3,4.32
2016,00 Riket,Totalt,10006,140.03
2016,01 Stockholms län,< 20 kw,872,6.34
2016,01 Stockholms län,20 kW - 1 000 kW,179,9.27
2016,01 Stockholms län,> 1 000 kW,0,0
2016,01 Stockholms län,Totalt,1051,15.61
2016,03 Uppsala län,< 20 kw,433,3.37
2016,03 Uppsala län,20 kW - 1 000 kW,84,3.98
2016,03 Uppsala län,> 1 000 kW,0,0
2016,03 Uppsala län,Totalt,517,7.35
2016,04 Södermanlands län,< 20 kw,332,2.54
2016,04 Södermanlands län,20 kW - 1 000 kW,84,4.18
2016,04 Södermanlands län,> 1 000 kW,1,1.02
2016,04 Södermanlands län,Totalt,417,7.74
2016,05 Östergötlands län,< 20 kw,591,4.99
2016,05 Östergötlands län,20 kW - 1 000 kW,194,9.26
2016,05 Östergötlands län,> 1 000 kW,0,0
2016,05 Östergötlands län,Totalt,785,14.25
2016,06 Jönköpings län,< 20 kw,409,3.69
2016,06 Jönköpings län,20 kW - 1 000 kW,80,3.81
2016,06 Jönköpings län,> 1 000 kW,0,0
2016,06 Jönköpings län,Totalt,489,7.49
2016,07 Kronobergs län,< 20 kw,238,1.98
2016,07 Kronobergs län,20 kW - 1 000 kW,30,1.87
2016,07 Kronobergs län,> 1 000 kW,0,0
2016,07 Kronobergs län,Totalt,268,3.85
2016,08 Kalmar län,< 20 kw,325,2.49
2016,08 Kalmar län,20 kW - 1 000 kW,38,2.36
2016,08 Kalmar län,> 1 000 kW,0,0
2016,08 Kalmar län,Totalt,363,4.86
2016,09 Gotlands län,< 20 kw,217,1.52
2016,09 Gotlands län,20 kW - 1 000 kW,25,0.76
2016,09 Gotlands län,> 1 000 kW,0,0
2016,09 Gotlands län,Totalt,242,2.28
2016,10 Blekinge län,< 20 kw,186,1.4
2016,10 Blekinge län,20 kW - 1 000 kW,23,1.84
2016,10 Blekinge län,> 1 000 kW,0,0
2016,10 Blekinge län,Totalt,209,3.24
2016,12 Skåne län,< 20 kw,1071,8.39
2016,12 Skåne län,20 kW - 1 000 kW,219,11.79
2016,12 Skåne län,> 1 000 kW,0,0
2016,12 Skåne län,Totalt,1290,20.18
2016,13 Hallands län,< 20 kw,690,5.41
2016,13 Hallands län,20 kW - 1 000 kW,122,5.36
2016,13 Hallands län,> 1 000 kW,1,2.3
2016,13 Hallands län,Totalt,813,13.07
2016,14 Västra Götalands län,< 20 kw,1477,11.09
2016,14 Västra Götalands län,20 kW - 1 000 kW,168,7.26
2016,14 Västra Götalands län,> 1 000 kW,0,0
2016,14 Västra Götalands län,Totalt,1645,18.34
2016,17 Värmlands län,< 20 kw,218,1.55
2016,17 Värmlands län,20 kW - 1 000 kW,24,1.02
2016,17 Värmlands län,> 1 000 kW,0,0
2016,17 Värmlands län,Totalt,242,2.56
2016,18 Örebro län,< 20 kw,292,2.24
2016,18 Örebro län,20 kW - 1 000 kW,30,1.27
2016,18 Örebro län,> 1 000 kW,0,0
2016,18 Örebro län,Totalt,322,3.51
2016,19 Västmanlands län,< 20 kw,..,..
2016,19 Västmanlands län,20 kW - 1 000 kW,..,..
2016,19 Västmanlands län,> 1 000 kW,1,1
2016,19 Västmanlands län,Totalt,364,6.16
2016,20 Dalarnas län,< 20 kw,281,1.97
2016,20 Dalarnas län,20 kW - 1 000 kW,15,0.59
2016,20 Dalarnas län,> 1 000 kW,0,0
2016,20 Dalarnas län,Totalt,296,2.56
2016,21 Gävleborgs län,< 20 kw,133,0.95
2016,21 Gävleborgs län,20 kW - 1 000 kW,11,0.31
2016,21 Gävleborgs län,> 1 000 kW,0,0
2016,21 Gävleborgs län,Totalt,144,1.26
2016,22 Västernorrlands län,< 20 kw,166,1.28
2016,22 Västernorrlands län,20 kW - 1 000 kW,20,1.1
2016,22 Västernorrlands län,> 1 000 kW,0,0
2016,22 Västernorrlands län,Totalt,186,2.38
2016,23 Jämtlands län,< 20 kw,230,1.23
2016,23 Jämtlands län,20 kW - 1 000 kW,22,0.62
2016,23 Jämtlands län,> 1 000 kW,0,0
2016,23 Jämtlands län,Totalt,252,1.85
2016,24 Västerbottens län,< 20 kw,..,..
2016,24 Västerbottens län,20 kW - 1 000 kW,..,..
2016,24 Västerbottens län,> 1 000 kW,0,0
2016,24 Västerbottens län,Totalt,68,0.79
2016,25 Norrbottens län,< 20 kw,38,0.27
2016,25 Norrbottens län,20 kW - 1 000 kW,5,0.43
2016,25 Norrbottens län,> 1 000 kW,0,0
2016,25 Norrbottens län,Totalt,43,0.7
2016,0114 Upplands Väsby,< 20 kw,12,0.08
2016,0114 Upplands Väsby,20 kW - 1 000 kW,6,0.26
2016,0114 Upplands Väsby,> 1 000 kW,0,0
2016,0114 Upplands Väsby,Totalt,18,0.35
2016,0115 Vallentuna,< 20 kw,26,0.19
2016,0115 Vallentuna,20 kW - 1 000 kW,6,0.23
2016,0115 Vallentuna,> 1 000 kW,0,0
2016,0115 Vallentuna,Totalt,32,0.42
2016,0117 Österåker,< 20 kw,40,0.25
2016,0117 Österåker,20 kW - 1 000 kW,7,0.3
2016,0117 Österåker,> 1 000 kW,0,0
2016,0117 Österåker,Totalt,47,0.55
2016,0120 Värmdö,< 20 kw,82,0.52
2016,0120 Värmdö,20 kW - 1 000 kW,2,0.06
2016,0120 Värmdö,> 1 000 kW,0,0
